Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
420-leggings,"420 Leggings","
Check out this trippy420 Tank Top! Get lost in the kaleidoscope weed field and blaze it up in style with this all-over-print tank! Pick up this vibrant psychedelic tank today, only on RageOn!
Designed by: Carl Brown","Let's Rage",Leggings,"All-Over-Prints, care-instructions, Coupon, Girls, Leggings, Let's Rage, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-leggings, theme-psychedelic",TRUE,Size,Small,Color,"Light Cyan",,,AOPLG1513USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPLG1513U_420_Mockup.jpg?v=1438501195,,FALSE,AOPLG1513USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPLG1513U_420_Mockup.jpg?v=1438501195&var_sku=AOPLG1513USM,lb
420-leggings,,,,,,TRUE,Size,Large,Color,"Light Cyan",,,AOPLG1513ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG1513ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPLG1513U_420_Mockup.jpg?v=1438501195&var_sku=AOPLG1513ULG,lb
420-leggings,,,,,,TRUE,Size,Medium,Color,"Light Cyan",,,AOPLG1513UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG1513UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPLG1513U_420_Mockup.jpg?v=1438501195&var_sku=AOPLG1513UMD,lb
420-leggings,,,,,,TRUE,Size,X-Large,Color,"Light Cyan",,,AOPLG1513UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG1513UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AOPLG1513U_420_Mockup.jpg?v=1438501195&var_sku=AOPLG1513UXL,lb
a-prayer-for-the-earth-leggings,"A Prayer for the Earth Leggings","Artist Cameron Gray portrays a being praying for the well being of earth in theseA Prayer for the Earth Leggings. These leggingsfeature vibrant colors and is fully sublimated. Get this beautiful piecetoday and remember that the earth needs a little love too. Only at RageOn.com!","Cameron Gray",Leggings,"All-Over-Prints, Artist Made, care-instructions, Coupon, Girls, Leggings, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-leggings, theme-art, theme-psychedelic",TRUE,Size,Small,Color,"Light Cyan",,,CMGLG0001USM,0,,-4,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGLG0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502702,,FALSE,CMGLG0001USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGLG0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502702&var_sku=CMGLG0001USM,lb
a-prayer-for-the-earth-leggings,,,,,,TRUE,Size,Large,Color,"Light Cyan",,,CMGLG0001ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,CMGLG0001ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGLG0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502702&var_sku=CMGLG0001ULG,lb
a-prayer-for-the-earth-leggings,,,,,,TRUE,Size,Medium,Color,"Light Cyan",,,CMGLG0001UMD,0,,-3,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,CMGLG0001UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGLG0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502702&var_sku=CMGLG0001UMD,lb
a-prayer-for-the-earth-leggings,,,,,,TRUE,Size,X-Large,Color,"Light Cyan",,,CMGLG0001UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,CMGLG0001UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/CMGLG0001U_A_Prayer_For_The_Earth_Mockup.jpg?v=1438502702&var_sku=CMGLG0001UXL,lb
american-psycho-leggings,"American Psycho Leggings","Now you can have killer looks just like Christian Bale as Patrick Bateman with these American Psycho Leggings. Just don&#39;t turn intsycho ;)
&#34;I have to return some videotapes.&#34;
Designer: Anthony Arganti @anthonyiskilluhh","Let's Rage",Leggings,"All-Over-Prints, care-instructions, Coupon, Girls, Leggings, Let's Rage, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-leggings",TRUE,Size,X-Small,Color,"Light Cyan",,,AOPLG0015UXS,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/American_Psycho_Leggings_Mockup.jpg?v=1438469563,,FALSE,AOPLG0015UXS,unisex,adult,"apparel & accessories > clothing > pants",,,Leggings,Leggings,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/American_Psycho_Leggings_Mockup.jpg?v=1438469563&var_sku=AOPLG0015UXS,lb
american-psycho-leggings,,,,,,TRUE,Size,Large,Color,"Light Cyan",,,AOPLG0015ULG,0,,-5,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG0015ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/American_Psycho_Leggings_Mockup.jpg?v=1438469563&var_sku=AOPLG0015ULG,lb
american-psycho-leggings,,,,,,TRUE,Size,Medium,Color,"Light Cyan",,,AOPLG0015UMD,0,,-10,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG0015UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/American_Psycho_Leggings_Mockup.jpg?v=1438469563&var_sku=AOPLG0015UMD,lb
american-psycho-leggings,,,,,,TRUE,Size,Small,Color,"Light Cyan",,,AOPLG0015USM,0,,-4,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG0015USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/American_Psycho_Leggings_Mockup.jpg?v=1438469563&var_sku=AOPLG0015USM,lb
american-psycho-leggings-ready-to-ship,"American Psycho Leggings *Ready to Ship*","Now you can have killer looks just like Christian Bale as Patrick Bateman with these American Psycho Leggings. Just don&#39;t turn intsycho ;)
&#34;I have to return some videotapes.&#34;
Designer: Anthony Arganti @anthonyiskilluhh
Not available in your size? Click here to order now!","Let's Rage","Ready to Ship","All-Over-Print, Girls, Leggings, Let's Rage, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-XS",TRUE,Size,X-Small,Color,"Light Cyan",,,AOPLG0015UXSRTS,0,shopify,1,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/American_Psycho_Leggings_Mockup_grande.jpg?v=1438475621,,FALSE,AOPLG0015UXSRTS,unisex,adult,"apparel & accessories > clothing > pants",,,"Ready to Ship","Ready to Ship",new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/American_Psycho_Leggings_Mockup_grande.jpg?v=1438475621&var_sku=AOPLG0015UXSRTS,lb
ants-in-your-pants-leggings,"Ants in your Pants Leggings","All the cool kids have ants in their pants. Get these Ants in your Pants Leggings now!","Quarterback Club",Leggings,"All-Over-Prints, Artist Made, care-instructions, Coupon, Girls, Leggings, PreOrdered, Quarterback Club, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-leggings, theme-animals",TRUE,Size,X-Small,Color,"Light Gray",,,QBCLG0011WXS,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/QBCLG0011W_Ants_in_Your_Pants_Mockup.jpg?v=1438475814,,FALSE,QBCLG0011WXS,unisex,adult,"apparel & accessories > clothing > pants",,,Leggings,Leggings,new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/QBCLG0011W_Ants_in_Your_Pants_Mockup.jpg?v=1438475814&var_sku=QBCLG0011WXS,lb
ants-in-your-pants-leggings,,,,,,TRUE,Size,Large,Color,"Light Gray",,,QBCLG0011WLG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,QBCLG0011WLG,female,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/QBCLG0011W_Ants_in_Your_Pants_Mockup.jpg?v=1438475814&var_sku=QBCLG0011WLG,lb
ants-in-your-pants-leggings,,,,,,TRUE,Size,Medium,Color,"Light Gray",,,QBCLG0011WMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,QBCLG0011WMD,female,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/QBCLG0011W_Ants_in_Your_Pants_Mockup.jpg?v=1438475814&var_sku=QBCLG0011WMD,lb
ants-in-your-pants-leggings,,,,,,TRUE,Size,Small,Color,"Light Gray",,,QBCLG0011WSM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,QBCLG0011WSM,female,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/QBCLG0011W_Ants_in_Your_Pants_Mockup.jpg?v=1438475814&var_sku=QBCLG0011WSM,lb
archi-buliding-leggings-1,"Archi Building Leggings","Printed leggings
Sewn in Bielsko-Biala, Poland","Mr. GuGu",Leggings,"All-Over-Prints, Girls, Guys, Leggings, Mr.GuGu, PreOrdered, Retail, size-L, size-M, size-S, size-XS, sizing-chart-leggings",TRUE,Size,X-Small,Color,"Medium Turquoise",,,GUGLG0102UXS,0,,-1,deny,manual,49.84,59.95,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0228/8535/products/436_-_Kopia_Kopiowanie_grande_df9a12b7-d1be-4606-be05-c76c152fe335.jpg?v=1440076555,,FALSE,GUGLG0102UXS,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/436_-_Kopia_Kopiowanie_grande_df9a12b7-d1be-4606-be05-c76c152fe335.jpg?v=1440076555&var_sku=GUGLG0102UXS,kg
archi-buliding-leggings-1,,,,,,TRUE,Size,Large,Color,"Medium Turquoise",,,GUGLG0102ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0102ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/436_-_Kopia_Kopiowanie_grande_df9a12b7-d1be-4606-be05-c76c152fe335.jpg?v=1440076555&var_sku=GUGLG0102ULG,kg
archi-buliding-leggings-1,,,,,,TRUE,Size,Medium,Color,"Medium Turquoise",,,GUGLG0102UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0102UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/436_-_Kopia_Kopiowanie_grande_df9a12b7-d1be-4606-be05-c76c152fe335.jpg?v=1440076555&var_sku=GUGLG0102UMD,kg
archi-buliding-leggings-1,,,,,,TRUE,Size,Small,Color,"Medium Turquoise",,,GUGLG0102USM,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0102USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/436_-_Kopia_Kopiowanie_grande_df9a12b7-d1be-4606-be05-c76c152fe335.jpg?v=1440076555&var_sku=GUGLG0102USM,kg
autumn-leggings,"Autumn Leggings","Wear your favorite season on your leggings! Just don&#39;t FALL...","Mr. GuGu",Leggings,"All-Over-Prints, care-instructions, Coupon, Girls, Leggings, Mr. GuGu, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-leggings",TRUE,Size,X-Small,Color,"Dark Orange",,,GUGLG0000UXS,272,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/autumn_legging.jpeg?v=1440024898,,FALSE,GUGLG0000UXS,unisex,adult,"apparel & accessories > clothing > pants",,,Leggings,Leggings,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/autumn_legging.jpeg?v=1440024898&var_sku=GUGLG0000UXS,lb
autumn-leggings,,,,,,TRUE,Size,Large,Color,"Dark Orange",,,GUGLG0000ULG,249,,0,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0000ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/autumn_legging.jpeg?v=1440024898&var_sku=GUGLG0000ULG,lb
autumn-leggings,,,,,,TRUE,Size,Medium,Color,"Dark Orange",,,GUGLG0000UMD,249,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0000UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/autumn_legging.jpeg?v=1440024898&var_sku=GUGLG0000UMD,lb
autumn-leggings,,,,,,TRUE,Size,Small,Color,"Dark Orange",,,GUGLG0000USM,249,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0000USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/autumn_legging.jpeg?v=1440024898&var_sku=GUGLG0000USM,lb
autumn-leggings-1,"Autumn Leggings","
Check out these sick all-over-printAutumn Leggings! Thissexy fully sublimated design features an owl, trees, coffee mugs, leaves, and much more! Get these original, vibrant leggings today, only on RageOn!","Mystery Box",Leggings,"All-Over-Prints, Artist Made, care-instructions, Coupon, Girls, Leggings, Mystery Box, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-leggings",TRUE,Size,Small,Color,"Medium Violet Red",,,MYSLG0008USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/MYSLG0008U_Autumn_Mockup.jpg?v=1438500064,,FALSE,MYSLG0008USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/MYSLG0008U_Autumn_Mockup.jpg?v=1438500064&var_sku=MYSLG0008USM,lb
autumn-leggings-1,,,,,,TRUE,Size,Large,Color,"Medium Violet Red",,,MYSLG0008ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,MYSLG0008ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/MYSLG0008U_Autumn_Mockup.jpg?v=1438500064&var_sku=MYSLG0008ULG,lb
autumn-leggings-1,,,,,,TRUE,Size,Medium,Color,"Medium Violet Red",,,MYSLG0008UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,MYSLG0008UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/MYSLG0008U_Autumn_Mockup.jpg?v=1438500064&var_sku=MYSLG0008UMD,lb
autumn-leggings-1,,,,,,TRUE,Size,X-Large,Color,"Medium Violet Red",,,MYSLG0008UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,MYSLG0008UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/MYSLG0008U_Autumn_Mockup.jpg?v=1438500064&var_sku=MYSLG0008UXL,lb
autumn-rose-leggings,"Autumn Rose Leggings","Check out these crazy all-over print Autumn Rose Leggingsdesigned by The Art of Gareth Johnson! These vibrant leggingsfeature a purple monster poking out of golden leaves and seems to only be staring in one direction! These insane leggingsare the perfect conversation starter! Get yours today, only on RageOn!","The Art Of Gareth Johnson",Leggings,"All-Over-Prints, Artist Made, care-instructions, Coupon, Girls, Leggings, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-leggings, The Art of Gareth Johnson, theme-art, theme-streetwear",TRUE,Size,Small,Color,"Mint Cream",,,AGJLG0009USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AGJLG0009U_Autmun_Rose_Mockup.jpg?v=1438489560,,FALSE,AGJLG0009USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AGJLG0009U_Autmun_Rose_Mockup.jpg?v=1438489560&var_sku=AGJLG0009USM,lb
autumn-rose-leggings,,,,,,TRUE,Size,Large,Color,"Mint Cream",,,AGJLG0009ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AGJLG0009ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AGJLG0009U_Autmun_Rose_Mockup.jpg?v=1438489560&var_sku=AGJLG0009ULG,lb
autumn-rose-leggings,,,,,,TRUE,Size,Medium,Color,"Mint Cream",,,AGJLG0009UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AGJLG0009UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AGJLG0009U_Autmun_Rose_Mockup.jpg?v=1438489560&var_sku=AGJLG0009UMD,lb
autumn-rose-leggings,,,,,,TRUE,Size,X-Large,Color,"Mint Cream",,,AGJLG0009UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AGJLG0009UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AGJLG0009U_Autmun_Rose_Mockup.jpg?v=1438489560&var_sku=AGJLG0009UXL,lb
bacon-cat-leggings,"Bacon Cat Leggings","Space?! Cats!? BACON!? These leggings have it all! You don&#39;t need anything else with this crazy yet amazing all over print! Get your Bacon Cat Leggings today!","Let's Rage",Leggings,"All-Over-Prints, care-instructions, Coupon, Electronic Dance Music, Girls, Leggings, Let's Rage, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, size-XS, sizing-chart-leggings, theme-animals, theme-cats, theme-space",TRUE,Size,X-Small,Color,"Light Cyan",,,AOPLG0023UXS,0,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Leggings_Mockup.jpg?v=1438469570,,FALSE,AOPLG0023UXS,unisex,adult,"apparel & accessories > clothing > pants",,,Leggings,Leggings,new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Leggings_Mockup.jpg?v=1438469570&var_sku=AOPLG0023UXS,lb
bacon-cat-leggings,,,,,,TRUE,Size,Large,Color,"Light Cyan",,,AOPLG0023ULG,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG0023ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Leggings_Mockup.jpg?v=1438469570&var_sku=AOPLG0023ULG,lb
bacon-cat-leggings,,,,,,TRUE,Size,Medium,Color,"Light Cyan",,,AOPLG0023UMD,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG0023UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Leggings_Mockup.jpg?v=1438469570&var_sku=AOPLG0023UMD,lb
bacon-cat-leggings,,,,,,TRUE,Size,Small,Color,"Light Cyan",,,AOPLG0023USM,0,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AOPLG0023USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Leggings_Mockup.jpg?v=1438469570&var_sku=AOPLG0023USM,lb
bacon-cat-leggings-ready-to-ship,"Bacon Cat Leggings *Ready to Ship*","Space?! Cats!? BACON!? These leggings have it all! You don&#39;t need anything else with this crazy yet amazing all over print! Get your Bacon Cat Leggings today! Not available in your size? Click here to order now!","Let's Rage","Ready to Ship","All-Over-Prints, care-instructions, Electronic Dance Music, Girls, Leggings, Let's Rage, Ready to Ship, Retail, shipping-1-days, shipping-10-days, size-S, theme-animals, theme-cats, theme-space",FALSE,Size,Small,Color,"Light Cyan",,,AOPLG0023USMRTS,0,shopify,0,deny,manual,49.95,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Leggings_Mockup_grande.jpg?v=1438475659,,FALSE,AOPLG0023USMRTS,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/Bacon_Cat_Leggings_Mockup_grande.jpg?v=1438475659&var_sku=AOPLG0023USMRTS,lb
bananas-leggings,"Bananas Leggings","Printed leggings
Sewn in Bielsko-Biala, Poland","Mr. GuGu",Leggings,"All-Over-Prints, Girls, Guys, Leggings, Mr.GuGu, PreOrdered, Retail, size-L, size-M, size-S, size-XS, sizing-chart-leggings",TRUE,Size,X-Small,Color,"Pale Violet Red",,,GUGLG0097UXS,0,,1,deny,manual,49.84,59.95,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0228/8535/products/319_-_Kopia_grande_854e7def-ed85-4079-8888-09bf49708035.jpg?v=1440081518,,FALSE,GUGLG0097UXS,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/319_-_Kopia_grande_854e7def-ed85-4079-8888-09bf49708035.jpg?v=1440081518&var_sku=GUGLG0097UXS,kg
bananas-leggings,,,,,,TRUE,Size,Large,Color,"Pale Violet Red",,,GUGLG0097ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0097ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/319_-_Kopia_grande_854e7def-ed85-4079-8888-09bf49708035.jpg?v=1440081518&var_sku=GUGLG0097ULG,kg
bananas-leggings,,,,,,TRUE,Size,Medium,Color,"Pale Violet Red",,,GUGLG0097UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0097UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/319_-_Kopia_grande_854e7def-ed85-4079-8888-09bf49708035.jpg?v=1440081518&var_sku=GUGLG0097UMD,kg
bananas-leggings,,,,,,TRUE,Size,Small,Color,"Pale Violet Red",,,GUGLG0097USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0097USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/319_-_Kopia_grande_854e7def-ed85-4079-8888-09bf49708035.jpg?v=1440081518&var_sku=GUGLG0097USM,kg
bananas-leggings,,,,,,TRUE,Size,X-Large,Color,"Pale Violet Red",,,GUGLG0097UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,GUGLG0097UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/319_-_Kopia_grande_854e7def-ed85-4079-8888-09bf49708035.jpg?v=1440081518&var_sku=GUGLG0097UXL,lb
beast-leggings,"Beast Leggings","Rock your favorite X-Men character and get these awesome Beast Leggings from artist Amie Stoltz only at RageOn! These leggings are sure to keep you comfortable whether you&#39;re reading Marvel comics in bed or saving the world with Wolverine, Storm, and Professor X.","Amie Stoltz",Leggings,"All-Over-Prints, Amie Stoltz, Artist Made, care-instructions, Coupon, Girls, Leggings, PreOrdered, Retail, shipping-21-days, size-L, size-M, size-S, sizing-chart-leggings, theme-art",TRUE,Size,Small,Color,"Light Cyan",,,AMSLG0000USM,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/AMSLG0000U_Beast_Mockup.jpg?v=1438487608,,FALSE,AMSLG0000USM,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AMSLG0000U_Beast_Mockup.jpg?v=1438487608&var_sku=AMSLG0000USM,lb
beast-leggings,,,,,,TRUE,Size,Large,Color,"Light Cyan",,,AMSLG0000ULG,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AMSLG0000ULG,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AMSLG0000U_Beast_Mockup.jpg?v=1438487608&var_sku=AMSLG0000ULG,lb
beast-leggings,,,,,,TRUE,Size,Medium,Color,"Light Cyan",,,AMSLG0000UMD,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AMSLG0000UMD,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AMSLG0000U_Beast_Mockup.jpg?v=1438487608&var_sku=AMSLG0000UMD,lb
beast-leggings,,,,,,TRUE,Size,X-Large,Color,"Light Cyan",,,AMSLG0000UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,TRUE,AMSLG0000UXL,unisex,adult,"apparel & accessories > clothing > pants",,,,,New,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/AMSLG0000U_Beast_Mockup.jpg?v=1438487608&var_sku=AMSLG0000UXL,lb
