Handle,Title,"Body (HTML)",Vendor,Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Alt Text","Gift Card","Google Shopping / MPN","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / Google Product Category","SEO Title","SEO Description","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit"
3d-transformer-limited-edition-purple-tank-top,"3D Transformers Limited Edition Purple Tank Top","<meta charset=""utf-8"">
<p>This 3D Transformers Limited Edition Purple Tank Top is more than meets the eye! This all-over print design from the mind of creative artist Antoni Tudisco screams new school swag. May the Optimus Prime be with you!</p>
<p>Designer: Antoni Tudisco</p>","Let's Rage","Tank Tops","All-Over-Prints, care-instructions, Coupon, Disclaimer, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, size-L, size-M, size-S, sizing-chart-tank-tops, Tank Tops, theme-art",TRUE,Size,Small,Color,Purple,,,AOPTT0293USM,0,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Purple_Tank_Top_Mockup_1.jpg?v=1438473335,,FALSE,AOPTT0293USM,unisex,adult,"apparel & accessories > clothing > shirts & tops","3D Transformer Limited Edition Purple All Over Print Tank Top",,"Tank Tops","Tank Tops",new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Purple_Tank_Top_Mockup_1.jpg?v=1438473335&var_sku=AOPTT0293USM,lb
3d-transformer-limited-edition-purple-tank-top,,,,,,,Size,Large,Color,Purple,,,AOPTT0293ULG,0,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTT0293ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Purple_Tank_Top_Mockup_1.jpg?v=1438473335&var_sku=AOPTT0293ULG,lb
3d-transformer-limited-edition-purple-tank-top,,,,,,,Size,Medium,Color,Purple,,,AOPTT0293UMD,0,,-2,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTT0293UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Purple_Tank_Top_Mockup_1.jpg?v=1438473335&var_sku=AOPTT0293UMD,lb
3d-transformer-limited-edition-purple-tank-top,,,,,,,Size,X-Large,Color,Purple,,,AOPTT0293UXL,0,,1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTT0293UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Purple_Tank_Top_Mockup_1.jpg?v=1438473335&var_sku=AOPTT0293UXL,lb
3d-transformer-limited-edition-red-tank-top,"3D Transformers Limited Edition Red Tank Top","<meta charset=""utf-8"">
<p>This 3D Transformers Limited Edition Red Tank Top is more than meets the eye! This all-over print design from the mind of creative artist Antoni Tudisco screams new school swag. May the Optimus Prime be with you!</p>
<p>Designer: Antoni Tudisco</p>","Let's Rage","Tank Tops","All-Over-Prints, care-instructions, Coupon, Disclaimer, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, size-L, size-M, size-S, sizing-chart-tank-tops, Tank Tops, theme-art",TRUE,Size,Small,Color,Purple,,,AOPTT0292USM,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformer_Red_Tank_Top_Mockup_1.jpg?v=1438473341,,FALSE,AOPTT0292USM,unisex,adult,"apparel & accessories > clothing > shirts & tops","3D Transformer Limited Edition Purple All Over Print Tank Top",,"Tank Tops","Tank Tops",new,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformer_Red_Tank_Top_Mockup_1.jpg?v=1438473341&var_sku=AOPTT0292USM,lb
3d-transformer-limited-edition-red-tank-top,,,,,,,Size,Large,Color,Purple,,,AOPTT0292ULG,0,,0,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTT0292ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformer_Red_Tank_Top_Mockup_1.jpg?v=1438473341&var_sku=AOPTT0292ULG,lb
3d-transformer-limited-edition-red-tank-top,,,,,,,Size,Medium,Color,Purple,,,AOPTT0292UMD,0,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTT0292UMD,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformer_Red_Tank_Top_Mockup_1.jpg?v=1438473341&var_sku=AOPTT0292UMD,lb
3d-transformer-limited-edition-red-tank-top,,,,,,,Size,X-Large,Color,Purple,,,AOPTT0292UXL,0,,-1,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTT0292UXL,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformer_Red_Tank_Top_Mockup_1.jpg?v=1438473341&var_sku=AOPTT0292UXL,lb
3d-transformers-tank-top,"3D Transformers Tank Top","<meta charset=""utf-8"">
<p>This 3D Transformers Tank Top is more than meets the eye! This all-over print design from the mind of creative artist Antoni Tudisco screams new school swag. May the Optimus Prime be with you!</p>
<p>Designer: Antoni Tudisco</p>","Let's Rage","Tank Tops","All-Over-Prints, Antoni Tudisco Collection, care-instructions, Coupon, Disclaimer, Girls, Guys, Let's Rage, Retail, shipping-10-days, shipping-21-days, size-L, size-M, size-S, sizing-chart-tank-tops, Tank Tops, theme-art",TRUE,Size,Small,Color,Indigo,,,AOPTT0000USM,104,,-2,deny,manual,49.84,59.95,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Tank_Top_Mockup.jpg?v=1438473505,,FALSE,AOPTT0000USM,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,"Tank Tops","Tank Tops",new,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Tank_Top_Mockup.jpg?v=1438473505&var_sku=AOPTT0000USM,lb
3d-transformers-tank-top,,,,,,,Size,Large,Color,Indigo,,,AOPTT0000ULG,113,,-10,deny,manual,49.84,59.95,TRUE,TRUE,,,,,AOPTT0000ULG,unisex,adult,"apparel & accessories > clothing > shirts & tops",,,,,New,,,,,,,https://cdn.shopify.com/s/files/1/0228/8535/products/3D_Transformers_Tank_Top_Mockup.jpg?v=1438473505&var_sku=AOPTT0000ULG,lb
